id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
63382301d2c136fca3bb93f60d11875d,1,2024-09-01,2025-08-31,365,330,46.13774733637748,664.3835616438356,Wattif,75.0,"Emma Olsens Vei 1, 9450 Hamnvik  9450 HAMNVIK",Ibestad Kommune,Norway,365,POINT(17.15857 68.78548),1000.0,1000.0,1000.0,135.75044260661346,18.68972945440752,0.5525957492202727,1000.0,1000.0,1000.0,1000.0,0,0,0,2,3,27,0,0,0,0.0
f6ef637eb61c9095d1e97ed8088b4908,1,2025-02-10,2025-07-25,166,127,44.97657295850067,647.6626506024096,Kople As,75.0,Klakkjeveien 5 8920 SØMNA,PWR UP - Coop Berg,Norway,166,POINT(12.19671 65.36867),1000.0,1000.0,22.094888409366146,33.18297518199654,141.26876352489327,1.8944340409305616,1000.0,1000.0,1000.0,1000.0,0,0,6,28,3,91,0,0,0,0.0
93a9bebd18ba399e34c11d5233ea4620,1,2024-09-01,2025-08-31,365,304,43.62956621004566,628.2657534246575,Kople As,75.0,Kongsveien 84 9350 SJØVEGAN,Kople Coop Extra Sjøvegan,Norway,365,POINT(17.83002 68.87709),1000.0,1000.0,13.339426417313469,128.5483071337884,1000.0,0.20708696352701178,136.5974230963158,1000.0,369.98128228100774,1000.0,0,0,5,9,0,58,3,0,2,0.0
a3c36c7ef6eb303e39cbfca423bc200e,1,2024-09-02,2025-08-31,364,224,20.191544566544568,290.75824175824175,Kople As,75.0,Flakstadveien  8380 RAMBERG,Bodø Energi - Ramberg,Norway,364,POINT(13.22632 68.08956),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
93dac09bca00923e49bbe7390495798d,1,2024-10-23,2025-08-27,309,216,17.78631787126933,256.12297734627833,Allego,50.0,Jordbruksveien 44 8008 BODØ,Allego NOALLE00002109,Norway,309,POINT(14.40087 67.27614),1000.0,1000.0,1000.0,34.44336808548774,1000.0,40.58197398408417,223.1236887657464,121.21179711598788,1000.0,1000.0,0,0,0,102,0,57,12,16,0,0.0
638bacbd9f18c016e649b9eee59efa73,1,2024-09-01,2025-08-31,365,160,17.300418569254187,249.1260273972603,Kople As,75.0,Kulturveien 3589 8110 MOLDJORD,PWR UP - Misvær,Norway,365,POINT(15.00377 67.11659),1000.0,1000.0,29.751008044591273,46.97691190320876,1000.0,25.91855787710652,1000.0,1000.0,1000.0,1000.0,0,0,8,26,0,37,0,0,0,0.0
b6a00d121568c1323a5e884abbb9c176,1,2024-09-03,2025-08-31,363,270,16.924165901438624,243.70798898071627,Kople As,75.0,Sentrum 47 7877 HØYLANDET,Kople YX Høylandet,Norway,363,POINT(12.29867 64.62597),1000.0,1000.0,35.090085053043786,86.3267005473411,1000.0,15.554900891605149,1000.0,1000.0,303.0147827406402,1000.0,0,0,12,27,0,27,0,0,4,0.0
bc9a46872bcc6e9497c1c5235c6dd7a8,16,2024-09-01,2025-08-31,365,346,16.76179604261796,241.36986301369862,Mer,150.0,Karlsøyvegen 12 9015 TROMSØ,Obs Jekta Storsenter,Norway,365,POINT(18.92331 69.67368),1000.0,1000.0,287.78440104220357,339.9406997997671,1000.0,4.229352522092135,184.08023779625762,180.92000789262002,15.888048146061337,1000.0,0,0,20,18,0,107,12,24,40,0.0
d19ae78cc789f861f848b6b3515d3973,1,2024-09-02,2025-08-28,361,220,16.20517851646661,233.3545706371191,Kople As,75.0,Skauvolløya 2 8140 INNDYR,Bodø Energi - Skauvoll,Norway,361,POINT(14.04286 66.98669),1000.0,1000.0,12.243889266467066,306.72716752879245,1000.0,13.504321937014641,1000.0,1000.0,40.69037673438052,1000.0,0,0,4,4,0,18,0,0,1,0.0
77488afd8aa3d167e8264e60805ad995,4,2024-09-01,2025-08-31,365,342,15.652825342465754,225.40068493150685,Mer,150.0,Solstrandvegen 47 9020 TROMSDALEN,AMFI Pyramiden,Norway,365,POINT(18.96988 69.63979),1000.0,1000.0,1000.0,116.31905155407819,1000.0,11.68876359214776,81.20507324748704,24.924535136877832,1000.0,1000.0,0,0,0,10,0,44,19,9,0,0.0
